Date,Time,Unit,Value
8/10/24, 11:08 AM,count/min,66.0
8/11/24, 8:51 PM,count/min,71.0
8/12/24, 12:00 AM,count/min,60.0
8/14/24, 12:01 AM,count/min,61.0
8/15/24, 12:00 AM,count/min,60.0
8/16/24, 12:02 AM,count/min,65.0
8/17/24, 6:11 AM,count/min,64.0
8/18/24, 12:04 AM,count/min,66.0
8/19/24, 12:01 AM,count/min,65.0
8/20/24, 12:04 AM,count/min,63.0
8/21/24, 12:00 AM,count/min,65.0
8/22/24, 12:02 AM,count/min,65.0
8/23/24, 12:01 AM,count/min,62.00000000000001
8/25/24, 9:11 PM,count/min,68.0
8/26/24, 12:03 AM,count/min,67.0
8/27/24, 12:00 AM,count/min,69.0
8/28/24, 12:06 AM,count/min,69.0
8/29/24, 12:00 AM,count/min,69.0
8/30/24, 12:04 AM,count/min,66.0
9/2/24, 8:57 PM,count/min,64.0
9/2/24, 8:57 PM,count/min,64.0
9/3/24, 12:03 AM,count/min,66.0
9/3/24, 12:03 AM,count/min,66.0
9/4/24, 12:01 AM,count/min,68.0
9/5/24, 12:04 AM,count/min,62.00000000000001
9/6/24, 12:01 AM,count/min,62.00000000000001
9/9/24, 8:53 PM,count/min,61.0
9/10/24, 12:03 AM,count/min,61.0
9/11/24, 12:02 AM,count/min,64.0
9/12/24, 12:00 AM,count/min,62.00000000000001
9/13/24, 12:02 AM,count/min,63.0
9/14/24, 5:50 AM,count/min,60.0
9/16/24, 9:12 PM,count/min,64.0
9/17/24, 12:04 AM,count/min,62.00000000000001
9/18/24, 12:00 AM,count/min,65.0
9/19/24, 12:01 AM,count/min,65.0
9/20/24, 12:03 AM,count/min,69.0
9/22/24, 9:08 PM,count/min,70.0
9/23/24, 12:00 AM,count/min,66.0
9/24/24, 12:04 AM,count/min,63.0
9/25/24, 3:53 PM,count/min,70.0
9/26/24, 12:01 AM,count/min,60.0
9/28/24, 6:20 AM,count/min,65.0
9/29/24, 7:42 PM,count/min,67.0
9/30/24, 12:01 AM,count/min,63.0
10/1/24, 2:16 AM,count/min,62.00000000000001
10/2/24, 12:06 AM,count/min,61.0
10/3/24, 12:03 AM,count/min,66.0
10/4/24, 12:05 AM,count/min,65.0
10/6/24, 7:57 PM,count/min,81.0
10/7/24, 12:01 AM,count/min,70.0
10/8/24, 12:02 AM,count/min,58.0
10/9/24, 12:02 AM,count/min,58.0
10/14/24, 9:07 AM,count/min,73.0
10/15/24, 12:00 AM,count/min,58.0
10/16/24, 12:00 AM,count/min,64.0
10/17/24, 12:04 AM,count/min,68.0
10/18/24, 12:00 AM,count/min,59.0
10/22/24, 9:02 PM,count/min,75.0
10/23/24, 12:02 AM,count/min,55.0
10/24/24, 12:00 AM,count/min,52.0
10/25/24, 12:07 AM,count/min,52.0
10/27/24, 9:03 PM,count/min,80.0
10/28/24, 12:03 AM,count/min,56.0
10/29/24, 12:01 AM,count/min,73.0
